leak_size,leak_location,length,pressure,flow_rate
8,1000,1232,172374.5828,3881.48
10,1000,0,173088.6007,4219
10,1000,616,172718.2464,4219
10,1000,1232,172374.394,3797.1
15,1000,0,173075.942,4219
15,1000,616,172705.5877,4219
15,1000,1232,172373.9403,3586.15
18,1000,0,173068.6941,4219
18,1000,616,172698.3398,4219
18,1000,1232,172373.6804,3459.58
20,1000,0,173064.0067,4219
20,1000,616,172693.6524,4219
20,1000,1232,172373.5124,3375.2
25,1000,0,173052.7948,4219
25,1000,616,172682.4405,4219
25,1000,1232,172373.1105,3164.25
28,1000,0,173046.4149,4219
28,1000,616,172676.0606,4219
28,1000,1232,172372.8818,3037.68
30,1000,0,173042.3062,4219
30,1000,616,172671.9519,4219
30,1000,1232,172372.7345,2953.3
1,1008,0,173113.3048,4219
1,1008,616,172742.9505,4219
1,1008,1232,172375.2762,4176.81
2,1008,0,173110.5495,4219
2,1008,616,172740.1952,4219
2,1008,1232,172375.174,4134.62
5,1008,0,173102.4516,4219
5,1008,616,172732.0973,4219
5,1008,1232,172374.8737,4008.05
8,1008,0,173094.6054,4219
8,1008,616,172724.2511,4219
8,1008,1232,172374.5828,3881.48
10,1008,0,173089.5145,4219
10,1008,616,172719.1602,4219
10,1008,1232,172374.394,3797.1
15,1008,0,173077.2767,4219
15,1008,616,172706.9224,4219
15,1008,1232,172373.9403,3586.15
18,1008,0,173070.2697,4219
18,1008,616,172699.9154,4219
18,1008,1232,172373.6804,3459.58
20,1008,0,173065.7383,4219
20,1008,616,172695.384,4219
20,1008,1232,172373.5124,3375.2
25,1008,0,173054.8991,4219
25,1008,616,172684.5448,4219
25,1008,1232,172373.1105,3164.25
28,1008,0,173048.7313,4219
28,1008,616,172678.377,4219
28,1008,1232,172372.8818,3037.68
30,1008,0,173044.7592,4219
30,1008,616,172674.4049,4219
30,1008,1232,172372.7345,2953.3
1,1058,0,173113.903,4219
1,1058,616,172743.5487,4219
1,1058,1232,172375.2762,4176.81
2,1058,0,173111.7399,4219
2,1058,616,172741.3856,4219
2,1058,1232,172375.174,4134.62
5,1058,0,173105.3826,4219
5,1058,616,172735.0283,4219
5,1058,1232,172374.8737,4008.05
8,1058,0,173099.2228,4219
8,1058,616,172728.8685,4219
8,1058,1232,172374.5828,3881.48
10,1058,0,173095.2262,4219
10,1058,616,172724.8719,4219
10,1058,1232,172374.394,3797.1
15,1058,0,173085.6187,4219
15,1058,616,172715.2644,4219
15,1058,1232,172373.9403,3586.15
18,1058,0,173080.1178,4219
18,1058,616,172709.7635,4219
18,1058,1232,172373.6804,3459.58
20,1058,0,173076.5603,4219
20,1058,616,172706.206,4219
20,1058,1232,172373.5124,3375.2
25,1058,0,173068.0509,4219
25,1058,616,172697.6966,4219
25,1058,1232,172373.1105,3164.25
28,1058,0,173063.2087,4219
28,1058,616,172692.8544,4219
28,1058,1232,172372.8818,3037.68
30,1058,0,173060.0905,4219
30,1058,616,172689.7362,4219
30,1058,1232,172372.7345,2953.3
1,1120,0,173114.6448,4219
1,1120,616,172744.2905,4219
1,1120,1232,172375.2762,4176.81
2,1120,0,173113.2161,4219
2,1120,616,172742.8618,4219
2,1120,1232,172375.174,4134.62
5,1120,0,173109.017,4219
5,1120,616,172738.6627,4219
5,1120,1232,172374.8737,4008.05
8,1120,0,173104.9484,4219
8,1120,616,172734.5941,4219
8,1120,1232,172374.5828,3881.48
10,1120,0,173102.3086,4219
10,1120,616,172731.9543,4219
10,1120,1232,172374.394,3797.1
15,1120,0,173095.9628,4219
15,1120,616,172725.6085,4219
15,1120,1232,172373.9403,3586.15
18,1120,0,173092.3294,4219
18,1120,616,172721.9751,4219
18,1120,1232,172373.6804,3459.58
20,1120,0,173089.9796,4219
20,1120,616,172719.6253,4219
20,1120,1232,172373.5124,3375.2
25,1120,0,173084.3591,4219
25,1120,616,172714.0048,4219
25,1120,1232,172373.1105,3164.25
28,1120,0,173081.1608,4219
28,1120,616,172710.8065,4219
28,1120,1232,172372.8818,3037.68
30,1120,0,173079.1012,4219
30,1120,616,172708.7469,4219
30,1120,1232,172372.7345,2953.3
1,1170,0,173115.243,4219
1,1170,616,172744.8887,4219
1,1170,1232,172375.2762,4176.81
2,1170,0,173114.4065,4219
2,1170,616,172744.0522,4219
2,1170,1232,172375.174,4134.62
5,1170,0,173111.9479,4219
5,1170,616,172741.5936,4219
5,1170,1232,172374.8737,4008.05
8,1170,0,173109.5658,4219
8,1170,616,172739.2115,4219
8,1170,1232,172374.5828,3881.48
10,1170,0,173108.0202,4219
10,1170,616,172737.6659,4219
10,1170,1232,172374.394,3797.1
15,1170,0,173104.3048,4219
15,1170,616,172733.9505,4219
15,1170,1232,172373.9403,3586.15
18,1170,0,173102.1775,4219
18,1170,616,172731.8232,4219
18,1170,1232,172373.6804,3459.58
20,1170,0,173100.8017,4219
20,1170,616,172730.4474,4219
20,1170,1232,172373.5124,3375.2
25,1170,0,173097.5109,4219
25,1170,616,172727.1566,4219
25,1170,1232,172373.1105,3164.25
28,1170,0,173095.6383,4219
28,1170,616,172725.284,4219
28,1170,1232,172372.8818,3037.68
30,1170,0,173094.4324,4219
30,1170,616,172724.0781,4219
30,1170,1232,172372.7345,2953.3
